#{"t_start": 1785317522.183271, "env_id": "None"}
r,l,t,is_success
2.140161,100,6.223812,False
21.250788,65,8.465259,True
-10.250994,81,11.332048,False
0.64853,100,14.849028,False
22.061846,92,18.125842,True
-10.094839,45,19.679326,False
1.329274,100,23.934891,False
0.943041,100,27.548679,False
1.09928,100,31.65164,False
-10.475182,38,33.352419,False
0.968734,100,36.857501,False
0.344253,100,40.436028,False
22.345553,77,43.659448,True
0.760668,100,47.136032,False
2.179643,100,50.582417,False
-11.866348,50,52.273925,False
-1.233902,100,55.748008,False
2.313,100,59.617717,False
-11.99863,70,62.009587,False
1.02432,100,65.443173,False
1.413484,100,68.886713,False
1.88686,100,72.433901,False
0.917006,100,75.836073,False
2.527887,100,79.85082,False
0.783844,100,83.229377,False
23.079816,96,86.554042,True
0.547968,100,90.06721,False
22.314829,74,92.576449,True
1.56904,100,101.744536,False
22.249139,48,103.378443,True
1.364458,100,106.837814,False
0.771486,100,110.33699,False
0.629081,100,113.997788,False
-11.884928,98,117.543824,False
0.666338,100,121.42216,False
1.382516,100,124.822152,False
0.966333,100,128.353455,False
-14.820791,29,129.365517,False
-10.81984,79,132.062568,False
-8.827641,94,135.231002,False
1.428859,100,139.159351,False
0.695564,100,142.557975,False
1.306773,100,145.959926,False
-14.100045,46,147.61145,False
0.7782,100,150.990612,False
1.416778,100,154.458292,False
1.360461,100,158.34797,False
0.955725,100,161.916679,False
1.521607,100,165.357788,False
-8.601035,88,168.470584,False
0.744396,100,171.849608,False
0.663189,100,175.823743,False
0.948545,100,179.202551,False
-11.754139,56,181.104555,False
22.428877,95,184.30832,True
1.191989,100,193.096077,False
1.018297,100,197.03168,False
-0.954036,100,200.408581,False
1.057732,100,203.872751,False
1.652015,100,207.284219,False
0.790722,100,210.711748,False
1.305529,100,214.139117,False
1.104932,100,217.973874,False
2.110913,100,221.647732,False
0.894592,100,225.101714,False
21.534238,52,226.96915,True
-13.987211,97,230.291126,False
1.679166,100,234.372472,False
2.382622,100,237.811601,False
1.409956,100,241.418631,False
21.668681,72,244.008224,True
1.133583,100,247.629083,False
1.530177,100,251.479552,False
0.490064,100,255.783416,False
-9.619754,80,258.757864,False
21.695096,78,261.736809,True
0.135453,100,265.472978,False
-1.929237,100,269.369946,False
-12.642017,40,270.865693,False
0.819753,100,275.154197,False
-14.097599,85,278.197587,False
1.11967,100,281.831668,False
-8.872638,81,291.485692,False
2.298794,100,294.889116,False
1.83553,100,298.889047,False
21.872887,84,301.830929,True
-9.401133,31,302.876113,False
0.953084,100,306.398676,False
1.0411,100,310.028402,False
21.499434,66,312.384756,True
1.34153,100,315.965906,False
0.690607,100,320.370891,False
-11.232562,72,323.105633,False
1.661318,100,326.797344,False
3.200693,100,330.501396,False
21.656089,53,332.490167,True
-13.128375,71,335.118407,False
0.767017,100,339.934575,False
0.766121,100,343.848383,False
22.089271,71,346.589279,True
1.487154,100,350.406937,False
0.861592,100,354.28673,False
2.31132,100,358.706941,False
21.923863,43,360.338747,True
22.663223,86,363.533934,True
21.97469,79,366.461824,True
1.234271,100,370.199235,False
0.587953,100,373.973331,False
-11.054919,92,378.006264,False
-12.661904,96,381.887113,False
22.085778,71,384.983201,True
0.964609,100,398.002878,False
-11.023873,91,401.905218,False
21.713566,43,403.574634,True
22.774544,72,406.432934,True
0.927489,100,411.027588,False
-12.106666,99,415.207363,False
1.298188,100,419.228038,False
0.996591,100,423.529079,False
-10.742116,82,426.679732,False
21.912964,70,430.02525,True
22.698122,65,432.841548,True
21.355235,78,436.270344,True
-11.972703,51,438.306747,False
1.415071,100,442.277,False
1.847832,100,446.175293,False
0.852692,100,450.784571,False
22.08142,88,454.260256,True
22.118857,93,457.889778,True
22.15291,80,461.029826,True
-9.217618,56,463.257515,False
1.402501,100,467.277577,False
0.568206,100,471.666459,False
-9.291885,62,474.142011,False
-9.904429,88,477.446566,False
-12.666344,30,478.582143,False
2.163631,100,482.341402,False
1.824541,100,486.161628,False
1.26741,100,489.920315,False
1.312049,100,494.286406,False
0.833356,100,498.043029,False
-0.632738,100,508.08505,False
0.336324,100,511.602044,False
22.147098,82,514.614398,True
0.950907,100,518.793139,False
-11.792045,45,520.6089,False
-8.359333,89,523.916764,False
1.612684,100,527.765875,False
0.914243,100,531.53343,False
-9.330808,91,534.953728,False
-9.373113,81,538.626913,False
-0.382093,100,542.565157,False
1.075056,100,546.452932,False
-12.626637,87,549.892308,False
1.496342,100,553.85039,False
-0.514304,100,558.360258,False
0.185322,100,562.312427,False
21.800022,74,565.187536,True
2.193764,100,569.074354,False
