#{"t_start": 1785303116.107372, "env_id": "None"}
r,l,t,is_success
-12.480402,45,4.494209,False
1.216055,100,8.016023,False
1.174582,100,11.634632,False
1.323448,100,15.175341,False
1.103013,100,18.838869,False
-9.695754,90,22.50569,False
0.201608,100,25.940228,False
0.627246,100,29.406151,False
0.683835,100,32.926276,False
1.220277,100,36.779813,False
0.864156,100,40.843596,False
1.556835,100,44.598722,False
1.171176,100,48.268099,False
1.553602,100,51.639173,False
1.676191,100,55.066496,False
1.145165,100,58.485127,False
0.615746,100,62.321132,False
0.83993,100,65.747289,False
0.50372,100,69.164416,False
0.770002,100,72.803061,False
0.715408,100,76.100592,False
-10.754598,58,78.500462,False
0.579861,100,81.91758,False
0.958109,100,85.345978,False
0.620487,100,88.856047,False
0.490745,100,92.183266,False
1.191003,100,101.926575,False
0.977176,100,105.550635,False
0.724007,100,108.945226,False
0.070797,100,112.515617,False
0.634443,100,116.393398,False
21.671754,72,119.435071,True
0.668019,100,124.044788,False
1.184105,100,127.961967,False
-11.467116,49,130.64703,False
0.808327,100,135.781536,False
0.825084,100,140.449534,False
0.607903,100,146.052982,False
0.94256,100,150.610608,False
0.684155,100,154.780869,False
-2.075879,100,160.903133,False
1.182129,100,165.468313,False
1.142288,100,170.946031,False
0.718507,100,175.465953,False
-0.543548,100,179.938171,False
1.273835,100,183.639392,False
0.778871,100,187.194911,False
1.158648,100,191.06027,False
1.130385,100,195.029385,False
0.831133,100,198.958193,False
1.079308,100,202.782755,False
1.00262,100,212.710136,False
1.190769,100,216.391215,False
0.796178,100,220.68575,False
2.16643,100,224.115877,False
0.700012,100,227.961369,False
1.409377,100,231.690365,False
0.766691,100,235.50359,False
0.678132,100,239.63741,False
-0.831164,100,243.331243,False
21.71383,92,246.593075,True
1.096906,100,250.328132,False
0.529597,100,254.069257,False
0.116645,100,258.625206,False
2.276829,100,262.350427,False
1.529816,100,266.008595,False
1.037024,100,269.619118,False
1.631618,100,273.469963,False
20.935359,83,277.338685,True
-9.884997,49,279.504055,False
-8.389059,87,282.879159,False
0.077111,100,286.614876,False
1.014915,100,290.641082,False
0.693176,100,294.646417,False
1.074427,100,299.494315,False
-11.965296,36,300.940467,False
-13.144592,93,304.664402,False
0.305136,100,308.621719,False
1.126137,100,321.106447,False
1.618926,100,324.959923,False
0.311353,100,329.370005,False
0.408009,100,333.190426,False
0.709225,100,336.964494,False
1.03915,100,340.841798,False
-0.017345,100,344.774604,False
1.692225,100,349.312175,False
-14.044014,96,353.013569,False
-12.002311,29,354.231884,False
0.431467,100,358.325322,False
1.121461,100,362.275517,False
1.079359,100,366.474098,False
0.876298,100,371.134415,False
1.167047,100,375.145446,False
1.059292,100,379.24872,False
0.826157,100,383.363527,False
0.947779,100,387.394836,False
0.54816,100,392.048607,False
0.541214,100,395.925436,False
21.371548,75,398.889458,True
0.718928,100,402.932927,False
1.021186,100,407.132541,False
0.732583,100,411.987669,False
1.70801,100,416.202121,False
0.633895,100,420.341854,False
0.581718,100,431.988282,False
0.770139,100,435.461089,False
1.020966,100,439.497162,False
0.405608,100,442.947067,False
1.196344,100,446.425996,False
1.122863,100,449.887431,False
-12.019058,47,451.577833,False
0.606041,100,455.242728,False
-11.71227,22,456.032086,False
1.350195,100,460.202216,False
-9.643716,50,461.985066,False
21.439511,91,465.509858,True
1.469493,100,470.058142,False
0.953574,100,474.452079,False
0.269771,100,478.813393,False
0.738831,100,483.681039,False
0.799027,100,487.783956,False
1.166463,100,491.902962,False
21.938276,50,493.938334,True
1.650353,100,498.198144,False
-12.664528,65,501.716084,False
0.677764,100,506.082883,False
-11.581424,51,508.206714,False
1.32158,100,512.195628,False
0.809785,100,516.173777,False
1.273874,100,520.255906,False
-7.699311,96,524.55188,False
0.848985,100,528.626191,False
1.530992,100,540.383056,False
0.850869,100,543.777431,False
1.215566,100,547.22095,False
21.548912,75,550.381671,True
0.198579,100,553.966703,False
1.070093,100,557.658847,False
0.573256,100,561.414309,False
1.474305,100,565.124733,False
0.315593,100,568.828762,False
0.375047,100,573.284021,False
-10.794145,81,576.386394,False
1.090529,100,580.217783,False
21.678114,96,583.885369,True
1.592864,100,587.812407,False
0.382953,100,592.283531,False
1.535952,100,596.15951,False
1.184991,100,599.985951,False
0.683978,100,603.800024,False
0.529391,100,607.663874,False
0.810675,100,612.128548,False
0.466822,100,615.953845,False
-14.100913,62,618.326565,False
0.622335,100,622.393967,False
1.012657,100,626.500546,False
0.559427,100,630.36595,False
0.550701,100,634.912755,False
0.845526,100,648.608027,False
0.998112,100,652.993706,False
1.511046,100,657.254986,False
-2.422259,100,661.272614,False
0.934676,100,666.133274,False
0.731205,100,670.337842,False
1.214705,100,674.586489,False
21.709391,61,677.193904,True
-0.094274,100,681.673985,False
0.615395,100,686.758416,False
0.807999,100,691.158227,False
1.568961,100,695.573968,False
-0.261189,100,699.989823,False
0.341675,100,704.353835,False
1.301585,100,709.585229,False
1.370645,100,714.238974,False
0.313594,100,718.625948,False
-11.373332,97,723.14268,False
0.930935,100,727.694654,False
-11.239364,80,731.359511,False
1.402213,100,736.875632,False
1.030153,100,741.143361,False
1.145256,100,745.234754,False
0.276675,100,749.204901,False
0.950626,100,753.200011,False
1.062128,100,757.831432,False
0.859099,100,769.748242,False
1.752062,100,773.390547,False
-9.823507,89,776.580315,False
1.336406,100,780.183065,False
1.506889,100,784.455419,False
0.932755,100,788.249865,False
0.755358,100,792.183717,False
0.896078,100,796.069103,False
0.688332,100,799.968609,False
21.813294,71,803.527343,True
0.411425,100,807.528233,False
0.796393,100,811.516693,False
21.577591,49,813.479056,True
0.30243,100,817.472478,False
1.383122,100,821.462531,False
0.305583,100,826.325357,False
0.832656,100,830.327035,False
0.848348,100,834.381879,False
22.333579,84,837.740125,True
1.486104,100,841.706653,False
1.830939,100,846.32975,False
0.579746,100,850.309212,False
1.755406,100,854.282773,False
0.681743,100,858.249239,False
1.104682,100,862.218199,False
0.543908,100,866.853503,False
0.772636,100,878.45982,False
-0.166672,100,882.33139,False
21.570237,90,885.885406,True
21.794109,96,889.566789,True
0.687357,100,893.419725,False
0.880685,100,897.885396,False
0.891632,100,901.717878,False
0.818646,100,905.555264,False
1.147779,100,909.402427,False
1.149803,100,913.34542,False
22.033724,36,915.416593,True
1.631005,100,919.426332,False
-11.665125,79,922.565678,False
1.033165,100,926.532754,False
1.302684,100,930.528708,False
22.02502,62,932.996959,True
1.168057,100,937.657473,False
0.228649,100,941.649107,False
1.900347,100,945.625652,False
0.465854,100,949.666032,False
0.68,100,953.847865,False
-13.730331,98,958.681133,False
-11.097989,83,962.111522,False
20.716242,23,963.061448,True
1.217876,100,967.19896,False
0.826147,100,971.335255,False
1.649509,100,975.596269,False
0.357635,100,987.13212,False
0.569898,100,990.842353,False
0.739158,100,994.564965,False
21.145725,30,995.685144,True
0.812819,100,999.382105,False
1.284098,100,1003.196071,False
1.447277,100,1007.815385,False
-9.4686,81,1010.955144,False
0.887786,100,1014.98477,False
2.193559,100,1018.973174,False
0.753778,100,1022.954823,False
0.820893,100,1027.04984,False
1.022968,100,1031.665472,False
1.072361,100,1035.637076,False
0.753032,100,1039.787562,False
21.460197,48,1041.776643,True
0.826041,100,1045.908907,False
1.209089,100,1050.717575,False
-11.596645,91,1054.463142,False
22.196978,93,1058.364491,True
-10.929912,81,1061.837268,False
1.40514,100,1066.046363,False
1.067594,100,1070.169593,False
0.864813,100,1074.983583,False
0.962273,100,1079.115179,False
0.811234,100,1083.193436,False
-15.634172,93,1086.87294,False
0.962463,100,1099.272866,False
0.955649,100,1103.607857,False
0.968913,100,1107.320979,False
1.595926,100,1111.020256,False
22.660928,91,1114.409077,True
0.744415,100,1118.209877,False
1.284491,100,1122.680698,False
0.823639,100,1126.799315,False
1.281195,100,1130.792011,False
0.399493,100,1134.845782,False
1.403606,100,1138.853232,False
-9.871669,48,1140.771943,False
1.271928,100,1145.59334,False
0.778524,100,1149.722102,False
-0.809969,100,1153.86069,False
1.335925,100,1157.99498,False
-14.169286,100,1162.13178,False
0.296713,100,1166.948958,False
0.79378,100,1171.072245,False
0.996732,100,1175.209317,False
1.061202,100,1179.343829,False
0.848704,100,1183.479969,False
0.770691,100,1188.378563,False
0.693342,100,1192.551696,False
1.446681,100,1196.736225,False
0.885538,100,1200.809056,False
0.95593,100,1212.965556,False
22.774178,97,1217.175308,True
-0.747164,100,1220.883359,False
0.765768,100,1224.597824,False
1.104944,100,1228.316502,False
0.723189,100,1232.149897,False
1.400871,100,1236.624157,False
1.012698,100,1240.599532,False
22.87145,93,1244.31119,True
-0.168159,100,1248.316291,False
0.909161,100,1252.403458,False
-9.608576,37,1253.940488,False
1.687638,100,1258.753907,False
0.167186,100,1262.900254,False
0.617981,100,1267.052126,False
0.76878,100,1271.189266,False
0.237582,100,1275.322093,False
1.322551,100,1280.125074,False
1.189612,100,1284.253463,False
-8.777504,67,1287.023881,False
0.089009,100,1291.178208,False
0.579018,100,1295.307955,False
1.126139,100,1299.442447,False
21.79078,68,1302.923593,True
1.132793,100,1307.151204,False
0.590326,100,1311.297637,False
1.242924,100,1323.803699,False
-11.051027,62,1326.11651,False
1.053929,100,1330.42694,False
-14.884018,63,1332.76744,False
1.130578,100,1336.488293,False
0.351576,100,1340.203759,False
0.942515,100,1344.039629,False
0.767037,100,1347.86858,False
21.466518,36,1349.301577,True
1.126277,100,1353.921397,False
0.674843,100,1357.905878,False
0.968169,100,1361.892471,False
0.744323,100,1365.886302,False
0.344397,100,1369.99226,False
0.799777,100,1374.900995,False
-10.431431,36,1376.398672,False
22.452161,80,1379.720097,True
-13.935186,96,1383.687193,False
21.785073,64,1386.467799,True
1.118336,100,1390.600187,False
-17.55186,89,1394.95563,False
22.408432,81,1398.306532,True
22.275691,88,1401.941457,True
0.786375,100,1406.07725,False
0.692148,100,1410.214155,False
1.417648,100,1414.354142,False
0.812009,100,1419.090224,False
0.939089,100,1423.078904,False
-13.078006,85,1434.944226,False
0.517348,100,1438.66887,False
1.14493,100,1442.393222,False
0.240631,100,1446.751549,False
-11.719749,87,1449.982465,False
0.641991,100,1453.71541,False
-1.344404,100,1457.534609,False
1.027724,100,1461.376627,False
-0.326697,100,1466.039736,False
1.486559,100,1470.026711,False
0.525052,100,1473.996576,False
0.055191,100,1478.001214,False
1.193451,100,1481.981171,False
0.765561,100,1486.682112,False
1.256323,100,1490.689837,False
-19.320937,43,1492.43045,False
-9.506866,93,1496.19884,False
0.555504,100,1500.168566,False
1.349504,100,1504.156083,False
0.869776,100,1508.877866,False
0.842177,100,1512.877611,False
0.920504,100,1516.883239,False
1.156392,100,1521.338252,False
0.356547,100,1526.076284,False
0.769611,100,1531.263052,False
0.781505,100,1535.420629,False
-0.047193,100,1551.148442,False
1.279913,100,1555.996051,False
2.257232,100,1561.833827,False
-3.386859,100,1567.713297,False
0.696411,100,1573.936077,False
-13.751932,70,1577.232189,False
0.881595,100,1581.59432,False
1.082507,100,1585.873665,False
-10.836617,23,1586.984193,False
2.359648,100,1592.49996,False
0.798431,100,1597.090335,False
1.406527,100,1601.918357,False
0.595467,100,1607.093837,False
0.836023,100,1612.564138,False
1.288387,100,1618.308594,False
0.611512,100,1624.665978,False
1.393648,100,1630.876298,False
0.550511,100,1636.640615,False
0.505285,100,1643.299738,False
1.058068,100,1649.711034,False
1.189051,100,1656.712022,False
0.880599,100,1662.63866,False
0.959438,100,1668.573039,False
1.160258,100,1674.235203,False
-12.292308,48,1676.679983,False
1.30579,100,1682.79432,False
0.818282,100,1687.877978,False
-10.301598,99,1703.666925,False
-9.760011,80,1707.981952,False
-10.96314,43,1710.676726,False
0.335376,100,1716.613451,False
1.23783,100,1722.380369,False
2.577895,100,1727.733521,False
1.020445,100,1732.555612,False
0.411675,100,1737.250655,False
3.094295,100,1742.009012,False
-10.369573,22,1743.011054,False
1.150299,100,1748.27817,False
0.582605,100,1752.958038,False
0.795354,100,1757.636946,False
0.819243,100,1762.443708,False
0.811456,100,1767.265263,False
1.612131,100,1772.765406,False
1.063604,100,1777.359498,False
1.22584,100,1781.949192,False
1.232999,100,1786.698064,False
1.152611,100,1792.775608,False
-13.148657,52,1796.442143,False
0.663976,100,1801.942503,False
1.037348,100,1806.504576,False
1.496785,100,1811.08118,False
1.192683,100,1815.880996,False
1.247065,100,1820.578929,False
1.430414,100,1826.493592,False
0.755313,100,1840.648109,False
1.524865,100,1844.838774,False
-9.622547,75,1848.037754,False
1.376145,100,1852.39911,False
1.52642,100,1857.337722,False
1.079637,100,1861.717059,False
0.384573,100,1866.079593,False
0.395369,100,1870.571911,False
1.174623,100,1875.159456,False
1.542911,100,1880.591212,False
0.311936,100,1885.340512,False
0.783709,100,1890.458598,False
1.908259,100,1895.332631,False
0.520248,100,1900.317103,False
0.835733,100,1906.668736,False
-12.970337,83,1912.102841,False
-12.58099,78,1916.606726,False
1.069432,100,1921.945868,False
0.401481,100,1926.940791,False
1.049726,100,1932.060165,False
0.541526,100,1938.385076,False
0.748004,100,1943.579497,False
1.101235,100,1948.829902,False
0.851257,100,1954.043044,False
0.901549,100,1959.092809,False
1.331246,100,1974.85522,False
0.496149,100,1979.50145,False
1.189266,100,1983.956165,False
1.570189,100,1988.563085,False
0.910052,100,1992.976612,False
0.385492,100,1998.300126,False
-9.071992,93,2002.356588,False
1.43612,100,2007.004082,False
1.330027,100,2011.503844,False
-0.236495,100,2016.066145,False
0.477325,100,2021.308525,False
-9.29462,97,2025.825648,False
1.164137,100,2030.405754,False
1.409399,100,2035.079667,False
1.336408,100,2039.68794,False
0.334078,100,2044.821405,False
0.963308,100,2050.516162,False
0.710221,100,2055.676516,False
1.488676,100,2060.745846,False
-14.324375,66,2063.974197,False
-10.950284,92,2068.599785,False
1.086825,100,2074.50217,False
-10.45983,100,2079.295023,False
2.02075,100,2084.367401,False
0.946529,100,2089.527117,False
21.614255,80,2093.652755,True
1.202479,100,2109.77387,False
1.389746,100,2114.168534,False
-13.299605,100,2118.563924,False
0.726913,100,2122.941017,False
0.208612,100,2127.370232,False
1.30836,100,2131.950375,False
1.374915,100,2136.99795,False
0.775955,100,2141.677151,False
1.138017,100,2146.311528,False
1.478817,100,2150.765876,False
1.337676,100,2154.958642,False
1.066083,100,2159.997329,False
0.79266,100,2164.181951,False
0.99703,100,2168.782672,False
21.445991,90,2173.0326,True
0.024687,100,2177.846752,False
0.330184,100,2183.294092,False
1.054991,100,2187.889533,False
0.355893,100,2192.657106,False
1.30942,100,2197.406175,False
1.263295,100,2202.52651,False
2.554236,100,2208.563421,False
0.113522,100,2213.421847,False
1.201662,100,2218.492321,False
22.139227,59,2221.384853,True
-11.059129,62,2224.219134,False
1.44354,100,2238.433474,False
1.171694,100,2243.798164,False
0.738223,100,2248.39493,False
1.164063,100,2252.925278,False
0.924785,100,2257.460566,False
0.532218,100,2262.02562,False
21.480724,75,2266.145302,True
0.818463,100,2270.676452,False
-10.563377,57,2273.274894,False
22.005998,98,2277.732033,True
21.545419,80,2281.366923,True
0.789089,100,2286.039641,False
0.789064,100,2291.682868,False
1.322861,100,2296.545664,False
2.237848,100,2301.31611,False
0.423667,100,2305.99111,False
1.355156,100,2310.726029,False
0.856835,100,2316.285294,False
-10.233161,51,2318.666324,False
22.758281,73,2322.123872,True
1.071731,100,2327.073855,False
1.153037,100,2331.773828,False
22.015083,92,2336.14525,True
0.925806,100,2341.716097,False
0.972833,100,2346.406607,False
22.567126,92,2350.690858,True
21.691773,39,2352.476556,True
0.819958,100,2365.200777,False
22.240207,70,2368.458426,True
-12.676475,72,2372.109695,False
1.227716,100,2377.555401,False
1.491917,100,2382.107396,False
0.701213,100,2386.77888,False
21.481732,38,2388.441652,True
22.048846,61,2391.269589,True
-2.437849,100,2395.886559,False
1.202296,100,2401.409617,False
21.413791,76,2404.863415,True
1.06642,100,2409.071122,False
1.178541,100,2413.333206,False
1.079176,100,2417.527827,False
1.246317,100,2422.561802,False
0.659863,100,2426.855599,False
1.188782,100,2431.167016,False
0.27741,100,2435.378677,False
1.20617,100,2439.481149,False
1.465782,100,2444.71247,False
22.751024,88,2448.380769,True
1.510019,100,2452.489824,False
0.447163,100,2456.624773,False
1.654646,100,2460.811073,False
1.162787,100,2466.133617,False
0.717678,100,2470.444456,False
-11.459788,47,2472.593146,False
-0.971042,100,2478.12135,False
1.197972,100,2492.129679,False
22.543413,74,2495.352744,True
1.529103,100,2500.34075,False
0.769962,100,2504.733168,False
0.875174,100,2509.330962,False
0.512285,100,2513.644064,False
21.483855,96,2517.993474,True
1.245121,100,2523.238114,False
1.324391,100,2527.814175,False
1.049158,100,2532.267519,False
0.816831,100,2536.857268,False
22.149155,86,2540.911994,True
21.740002,65,2544.173301,True
2.119692,100,2549.923577,False
22.184622,90,2554.159017,True
1.114807,100,2558.868229,False
1.51755,100,2564.143791,False
1.487129,100,2569.032989,False
-13.70545,46,2571.121244,False
20.672636,46,2574.006768,True
0.036166,100,2579.052492,False
1.382226,100,2584.371357,False
1.142689,100,2589.892561,False
1.152735,100,2594.931698,False
22.062877,70,2598.347745,True
2.149964,100,2603.928854,False
22.53559,85,2608.235613,True
1.361236,100,2622.502894,False
22.289102,95,2627.933375,True
22.170749,77,2631.750389,True
0.746995,100,2637.74177,False
22.49341,74,2641.810009,True
0.867542,100,2646.605067,False
21.538364,82,2650.548215,True
0.462254,100,2655.249205,False
0.882511,100,2660.309862,False
0.824815,100,2665.413599,False
3.327202,100,2669.833975,False
1.032128,100,2674.521593,False
0.582548,100,2679.674566,False
21.894445,86,2683.597939,True
1.13353,100,2689.073092,False
0.922333,100,2694.826162,False
0.750441,100,2700.03911,False
-11.875627,30,2701.673742,False
1.212642,100,2706.165077,False
0.604558,100,2711.266286,False
-10.584149,43,2713.907385,False
0.96968,100,2720.064582,False
0.57414,100,2725.091871,False
-11.293509,39,2727.157771,False
1.481481,100,2731.978417,False
0.873236,100,2736.621268,False
-12.432031,76,2740.230761,False
-7.6372,64,2744.28245,False
-12.298948,99,2759.329642,False
-10.770718,95,2763.77879,False
0.836296,100,2768.043727,False
1.341941,100,2772.641246,False
1.486024,100,2777.932622,False
-0.243853,100,2783.358053,False
0.962123,100,2789.146252,False
21.763271,63,2791.86455,True
1.12735,100,2796.085587,False
1.200997,100,2801.123718,False
0.83893,100,2806.734083,False
-13.143433,83,2810.578873,False
-10.63265,41,2812.395608,False
-2.288451,100,2817.290993,False
1.181252,100,2822.123207,False
0.819147,100,2827.61269,False
1.133176,100,2832.452176,False
-0.363189,100,2837.313281,False
21.774968,62,2840.256012,True
22.613123,90,2845.419442,True
1.996238,100,2851.097935,False
1.959398,100,2856.912123,False
1.584164,100,2861.651141,False
1.717691,100,2866.232351,False
0.940982,100,2870.983633,False
22.427404,93,2875.511498,True
1.262697,100,2881.310397,False
1.172084,100,2897.302797,False
21.575316,70,2901.049529,True
22.428245,91,2905.415482,True
21.853202,68,2908.649934,True
0.663791,100,2913.563773,False
1.085601,100,2919.15906,False
0.773861,100,2923.919045,False
-11.453883,99,2929.068618,False
1.452382,100,2933.969995,False
1.237287,100,2939.583321,False
0.959184,100,2945.602749,False
0.102895,100,2950.835489,False
0.687847,100,2955.894612,False
0.49103,100,2961.06163,False
2.169999,100,2966.0174,False
0.417404,100,2972.378262,False
-8.854518,60,2975.629692,False
0.730473,100,2980.641145,False
1.363516,100,2985.546454,False
1.03255,100,2990.527434,False
1.520521,100,2995.670204,False
0.922723,100,3001.484285,False
23.508388,95,3006.320969,True
